Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
1632,ARCHIDPLY,Archidply Industries Limited,10072
1633,JHS,JHS Svendgaard Laboratories Limited,10060
1634,SITINET,Siti Networks Limited,10029
1635,MUKTAARTS,Mukta Arts Limited,10017
1636,CMNL,Chaman Metallics Limited,10016
1637,GAYAPROJ,Gayatri Projects Limited,10015
1638,AKG,Akg Exim Limited,9994
1639,FCONSUMER,Future Consumer Limited,9985
1640,PALASHSECU,Palash Securities Limited,9908
1641,CCHHL,Country Club Hospitality & Holidays Limited,9890
1642,SIGIND,Signet Industries Limited,9847
1643,AIROLAM,Airo Lam limited,9811
1644,WELINV,Welspun Investments and Commercials Limited,9790
1645,LEMERITE,Le Merite Exports Limited,9780
1646,CTE,Cambridge Technology Enterprises Limited,9766
1647,UNIVASTU,Univastu India Limited,9745
1648,SUNDARAM,Sundaram Multi Pap Limited,9714
1649,MANAKCOAT,Manaksia Coated Metals & Industries Limited,9699
1650,ARVEE,Arvee Laboratories (India) Limited,9698
1651,SECURCRED,SecUR Credentials Limited,9650
1652,ASTRON,Astron Paper & Board Mill Limited,9602
1653,FLFL,Future Lifestyle Fashions Limited,9584
1654,STEELCITY,Steel City Securities Limited,9540
1655,LLOYDS,Lloyds Luxuries Limited,9450
1656,GANGESSECU,Ganges Securities Limited,9448
1657,INDBANK,Indbank Merchant Banking Services Limited,9364
1658,SUMIT,Sumit Woods Limited,9329
1659,FIBERWEB,Fiberweb (India) Limited,9329
1660,ALKALI,Alkali Metals Limited,9317
1661,LASA,Lasa Supergenerics Limited,9294
1662,JAIPURKURT,Nandani Creation Limited,9239
1663,MHHL,Mohini Health & Hygiene Limited,9218
1664,BAHETI,Baheti Recycling Industries Limited,9171
1665,DGCONTENT,Digicontent Limited,9106
1666,VMARCIND,V Marc India Limited,9069
1667,PKTEA,The Peria Karamalai Tea & Produce Company Limited,9057
1668,DAMODARIND,Damodar Industries Limited,9029
1669,NECCLTD,North Eastern Carrying Corporation Limited,8985
1670,CAPTRUST,Capital Trust Limited,8950
1671,MITCON,MITCON Consultancy & Engineering Services Limited,8925
1672,TIRUPATIFL,Tirupati Forge Limited,8918
1673,IL&FSTRANS,IL&FS Transportation Networks Limited,8882
1674,SRPL,Shree Ram Proteins Limited,8836
1675,SURYALAXMI,Suryalakshmi Cotton Mills Limited,8810
1676,CEREBRAINT,Cerebra Integrated Technologies Limited,8786
1677,KSHITIJPOL,Kshitij Polyline Limited,8738
1678,LAGNAM,Lagnam Spintex Limited,8728
1679,ANLON,Anlon Technology Solutions Limited,8727
1680,AMJLAND,Amj Land Holdings Limited,8692
1681,BINANIIND,Binani Industries Limited,8688
1682,PROLIFE,Prolife Industries Limited,8639
1683,INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,8534
1684,SHAHALLOYS,Shah Alloys Limited,8513
1685,AMDIND,AMD Industries Limited,8510
1686,OMAXAUTO,Omax Autos Limited,8463
1687,TOKYOPLAST,Tokyo Plast International Limited,8447
1688,GROBTEA,The Grob Tea Company Limited,8444
1689,ANIKINDS,Anik Industries Limited,8423
1690,SURANASOL,Surana Solar Limited,8390
1691,FIDEL,Fidel Softech Limited,8388
1692,MAHASTEEL,Mahamaya Steel Industries Limited,8357
1693,AURDIS,Aurangabad Distillery Limited,8282
1694,SIMBHALS,Simbhaoli Sugars Limited,8235
1695,GAL,Gyscoal Alloys Limited,8143
1696,GICL,Globe International Carriers Limited,8140
1697,KALYANIFRG,Kalyani Forge Limited,8109
1698,HINDCON,Hindcon Chemicals Limited,8103
1699,CORDSCABLE,Cords Cable Industries Limited,8099
1700,YAARI,Yaari Digital Integrated Services Limited,8006
1701,SONAMCLOCK,Sonam Clock Limited,7986
1702,MAHICKRA,Mahickra Chemicals Limited,7960
1703,HPIL,Hindprakash Industries Limited,7917
1704,LPDC,Landmark Property Development Company Limited,7914
1705,DBSTOCKBRO,DB (International) Stock Brokers Limited,7893
1706,AUSOMENT,Ausom Enterprise Limited,7765
1707,BALLARPUR,Ballarpur Industries Limited,7761
1708,AVSL,AVSL Industries Limited,7730
1709,SPMLINFRA,SPML Infra Limited,7676
1710,BANKA,Banka BioLoo Limited,7560
1711,GOLDENTOBC,Golden Tobacco Limited,7554
1712,GTL,GTL Limited,7550
1713,ENERGYDEV,Energy Development Company Limited,7481
1714,PANACHE,Panache Digilife Limited,7470
1715,PIGL,Power & Instrumentation (Gujarat) Limited,7454
1716,DELTAMAGNT,Delta Manufacturing Limited,7444
1717,SHRADHA,Shradha Infraprojects Limited,7411
1718,PIONEEREMB,Pioneer Embroideries Limited,7390
1719,GLOBALVECT,Global Vectra Helicorp Limited,7378
1720,BAGFILMS,B.A.G Films and Media Limited,7317
1721,WIPL,The Western India Plywoods Limited,7269
1722,NITIRAJ,Nitiraj Engineers Limited,7263
1723,BEARDSELL,Beardsell Limited,7250
1724,KRITIKA,Kritika Wires Limited,7234
1725,PATINTLOG,Patel Integrated Logistics Limited,7104
1726,SETCO,Setco Automotive Limited,7090
1727,PRAENG,Prajay Engineers Syndicate Limited,7064
1728,ELECTHERM,Electrotherm (India) Limited,7034
1729,UCL,Ushanti Colour Chem Limited,6979
1730,PRAKASHSTL,Prakash Steelage Limited,6913
1731,CINEVISTA,Cinevista Limited,6892
1732,SUULD,Suumaya Industries Limited,6890
1733,FLEXITUFF,Flexituff Ventures International Limited,6818
1734,MDL,Marvel Decor Limited,6816
1735,HISARMETAL,Hisar Metal Industries Limited,6782
1736,SUVIDHAA,Suvidhaa Infoserve Limited,6742
1737,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,6737
1738,MARSHALL,Marshall Machines Limited,6722
1739,ARIHANTACA,Arihant Academy Limited,6721
1740,CELEBRITY,Celebrity Fashions Limited,6692
1741,VIAZ,Viaz Tyres Limited,6652
1742,DHRUV,Dhruv Consultancy Services Limited,6620
1743,CENTEXT,Century Extrusions Limited,6600
1744,DOLLEX,Dollex Agrotech Limited,6517
1745,BHANDARI,Bhandari Hosiery Exports Limited,6374
1746,TREJHARA,TREJHARA SOLUTIONS LIMITED,6369
1747,FELIX,Felix Industries Limited,6364
1748,NGIL,Nakoda Group of Industries Limited,6361
1749,SUPREMEINF,Supreme Infrastructure India Limited,6360
1750,AGROPHOS,Agro Phos India Limited,6356
1751,MCL,Madhav Copper Limited,6243
1752,OILCOUNTUB,Oil Country Tubular Limited,6201
1753,UMA,Uma Converter Limited,6123
1754,MORARJEE,Morarjee Textiles Limited,6122
1755,SRIVASAVI,Srivasavi Adhesive Tapes Limited,6095
1756,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,6092
1757,AAKASH,Aakash Exploration Services Limited,6024
1758,VASWANI,Vaswani Industries Limited,6000
1759,KANANIIND,Kanani Industries Limited,5936
1760,ARCHIES,Archies Limited,5928
1761,SHIVAMILLS,Shiva Mills Limited,5907
1762,IPSL,Integrated Personnel Services Limited,5873
1763,TREEHOUSE,Tree House Education & Accessories Limited,5839
1764,BDR,BDR Buildcon Limited,5824
1765,VERTEXPLUS,Vertexplus Technologies Limited,5784
1766,KEYFINSERV,Keynote Financial Services Limited,5780
1767,KHFM,Khfm Hospitality And Facility Management Services Limited,5763
1768,AROGRANITE,Aro Granite Industries Limited,5753
1769,SEYAIND,Seya Industries Limited,5739
1770,GIRIRAJ,Giriraj Civil Developers Limited,5710
1771,RSSOFTWARE,R. S. Software (India) Limited,5707
1772,ORIENTLTD,Orient Press Limited,5670
1773,EXCEL,Excel Realty N Infra Limited,5643
1774,RELIABLE,Reliable Data Services Limited,5573
1775,AAATECH,AAA Technologies Limited,5567
1776,AGRITECH,Agri-Tech (India) Limited,5551
1777,LGHL,Laxmi Goldorna House Limited,5531
1778,SHRENIK,Shrenik Limited,5508
1779,ANKITMETAL,Ankit Metal & Power Limited,5503
1780,JETFREIGHT,Jet Freight Logistics Limited,5476
1781,VARDMNPOLY,Vardhman Polytex Limited,5472
1782,NIRMAN,Nirman Agri Gentics Limited,5451
1783,SHREERAMA,Shree Rama Multi-Tech Limited,5427
1784,SIDDHIKA,Siddhika Coatings Limited,5366
1785,BVCL,Barak Valley Cements Limited,5341
1786,KKVAPOW,KKV Agro Powers Limited,5334
1787,HOVS,HOV Services Limited,5258
1788,AMBANIORG,Ambani Organics Limited,5210
1789,FSC,Future Supply Chain Solutions Limited,5178
1790,ABMINTLLTD,ABM International Limited,5170
1791,SEPOWER,S.E. Power Limited,5157
1792,BANARBEADS,Banaras Beads Limited,5143
1793,REGENCERAM,Regency Ceramics Limited,5130
1794,PODDARHOUS,Poddar Housing and Development Limited,5125
1795,PENTAGOLD,Penta Gold Limited,5065
1796,PARTYCRUS,Party Cruisers Limited,4945
1797,SONAHISONA,Sona Hi Sona Jewellers (Gujarat) Limited,4859
1798,MALUPAPER,Malu Paper Mills Limited,4853
1799,MOKSH,Moksh Ornaments Limited,4776
1800,PULZ,Pulz Electronics Limited,4771
1801,RBMINFRA,Rbm Infracon Limited,4769
1802,ZENITHSTL,Zenith Steel Pipes & Industries Limited,4766
1803,NIDAN,Nidan Laboratories and Healthcare Limited,4705
1804,SAMBHAAV,Sambhaav Media Limited,4682
1805,UWCSL,Ultra Wiring Connectivity System Limited,4657
1806,BANG,Bang Overseas Limited,4644
1807,MRO,M.R. Organisation Limited,4625
1808,MINDPOOL,Mindpool Technologies Limited,4604
1809,TAPIFRUIT,Tapi Fruit Processing Limited,4589
1810,ABCOTS,A B Cotspin India Limited,4529
1811,PNC,Pritish Nandy Communications Limited,4478
1812,SURANI,Surani Steel Tubes Limited,4444
1813,PRECISION,Precision Metaliks Limited,4422
1814,TIMESGTY,Times Guaranty Limited,4411
1815,MANUGRAPH,Manugraph India Limited,4380
1816,ZENITHEXPO,Zenith Exports Limited,4263
1817,AARVEEDEN,Aarvee Denims & Exports Limited,4258
1818,SOMICONVEY,Somi Conveyor Beltings Limited,4241
1819,DKEGL,D.K. Enterprises Global Limited,4204
1820,ARHAM,Arham Technologies Limited,4188
1821,TIMESCAN,Timescan Logistics (India) Limited,4167
1822,SGL,STL Global Limited,4143
1823,WEWIN,WE WIN LIMITED,4125
1824,CMRSL,Cyber Media Research & Services Limited,4114
1825,SONUINFRA,Sonu Infratech Limited,4090
1826,VIVIANA,Viviana Power Tech Limited,4078
1827,AKASH,Akash Infra-Projects Limited,3996
1828,INDSWFTLTD,Ind-Swift Limited,3981
1829,KARMAENG,Karma Energy Limited,3974
1830,NAGREEKEXP,Nagreeka Exports Limited,3956
1831,BURNPUR,Burnpur Cement Limited,3919
1832,NIBL,NRB Industrial Bearings Limited,3889
1833,CUBEXTUB,Cubex Tubings Limited,3880
1834,AISL,ANI Integrated Services Limited,3875
1835,SHAIVAL,Shaival Reality Limited,3825
1836,VINEETLAB,Vineet Laboratories Limited,3817
1837,ARISTO,Aristo Bio-Tech And Lifescience Limited,3816
1838,TERASOFT,Tera Software Limited,3691
1839,CROWN,Crown Lifters Limited,3690
1840,JFLLIFE,Jfl Life Sciences Limited,3629
1841,GLOBE,Globe Textiles (India) Limited,3627
1842,3PLAND,3P Land Holdings Limited,3618
1843,VERA,Vera Synthetic Limited,3615
1844,MILTON,Milton Industries Limited,3577
1845,ADROITINFO,Adroit Infotech Limited,3571
1846,SHUBHLAXMI,Shubhlaxmi Jewel Art Limited,3566
1847,AGNI,Agni Green Power Limited,3536
1848,LFIC,Lakshmi Finance & Industrial Corporation Limited,3525
1849,VSCL,Vadivarhe Speciality Chemicals Limited,3522
1850,MADHAV,Madhav Marbles and Granites Limited,3507
1851,UJAAS,Ujaas Energy Limited,3505
1852,SUPERSPIN,Super Spinning Mills Limited,3493
1853,RKDL,Ravi Kumar Distilleries Limited,3492
1854,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,3487
1855,ACEINTEG,Ace Integrated Solutions Limited,3478
1856,OMFURN,Omfurn India Limited,3474
1857,SWARAJ,Swaraj Suiting Limited,3470
1858,AJOONI,Ajooni Biotech Limited,3461
1859,KHANDSE,Khandwala Securities Limited,3447
1860,SAGARDEEP,Sagardeep Alloys Limited,3437
1861,REXPIPES,Rex Pipes And Cables Industries Limited,3376
1862,ADL,Archidply Decor Limited,3329
1863,MCON,Mcon Rasayan India Limited,3300
1864,CADSYS,Cadsys (India) Limited,3286
1865,HBSL,HB Stockholdings Limited,3280
1866,SANGINITA,Sanginita Chemicals Limited,3272
1867,GANGAFORGE,Ganga Forging Limited,3232
1868,ABINFRA,A B Infrabuild Limited,3212
1869,PERFECT,Perfect Infraengineers Limited,3153
1870,NARMADA,Narmada Agrobase Limited,3109
1871,RMDRIP,R M Drip and Sprinklers Systems Limited,3077
1872,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,3059
1873,LAXMICOT,Laxmi Cotspin Limited,3052
1874,PEARLPOLY,Pearl Polymers Limited,3039
1875,HECPROJECT,HEC Infra Projects Limited,2945
1876,SANWARIA,Sanwaria Consumer Limited,2944
1877,MEGAFLEX,Mega Flex Plastics Limited,2901
1878,GISOLUTION,GI Engineering Solutions Limited,2883
1879,PARASPETRO,Paras Petrofils Limited,2841
1880,RITEZONE,Rite Zone Chemcon India Limited,2834
1881,HEADSUP,Heads UP Ventures Limited,2804
1882,VCL,Vaxtex Cotfab Limited,2778
1883,PRITIKA,Pritika Engineering Components Limited,2764
1884,KEEPLEARN,DSJ Keep Learning Limited,2759
1885,COUNCODOS,Country Condo's Limited,2755
1886,ROLTA,Rolta India Limited,2737
1887,DHARSUGAR,Dharani Sugars & Chemicals Limited,2722
1888,ASLIND,ASL Industries Limited,2708
1889,AGARWALFT,Agarwal Float Glass India Limited,2680
1890,NEXTMEDIA,Next Mediaworks Limited,2676
1891,RICHA,Richa Info Systems Limited,2673
1892,DNAMEDIA,Diligent Media Corporation Limited,2648
1893,AMEYA,Ameya Precision Engineers Limited,2644
1894,DYNAMIC,Dynamic Services & Security Limited,2636
1895,LIBAS,Libas Consumer Products Limited,2634
1896,JETKNIT,Jet Knitwears Limited,2625
1897,BALKRISHNA,Balkrishna Paper Mills Limited,2588
1898,MTEDUCARE,MT Educare Limited,2564
1899,GODHA,Godha Cabcon & Insulation Limited,2554
1900,GOENKA,Goenka Diamond and Jewels Limited,2536
1901,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,2533
1902,QUADPRO,Quadpro Ites Limited,2528
1903,QFIL,Quality Foils (India) Limited,2510
1904,MADHUCON,Madhucon Projects Limited,2509
1905,ROLLT,Rollatainers Limited,2501
1906,CYBERMEDIA,Cyber Media (India) Limited,2468
1907,JAKHARIA,JAKHARIA FABRIC LIMITED,2438
1908,VEEKAYEM,Veekayem Fashion and Apparels Limited,2359
1909,TGBHOTELS,TGB Banquets And Hotels Limited,2343
1910,VIVIDHA,Visagar Polytex Limited,2342
1911,FMNL,Future Market Networks Limited,2302
1912,WALPAR,Walpar Nutritions Limited,2293
1913,DESTINY,Destiny Logistics & Infra Limited,2293
1914,SUMEETINDS,Sumeet Industries Limited,2280
1915,ICDSLTD,ICDS Limited,2280
1916,LRRPL,Lead Reclaim And Rubber Products Limited,2228
1917,MPTODAY,Madhya Pradesh Today Media Limited,2220
1918,21STCENMGM,21st Century Management Services Limited,2184
1919,HYBRIDFIN,Hybrid Financial Services Limited,2178
1920,SABAR,Sabar Flex India Limited,2178
1921,TFL,Transwarranty Finance Limited,2177
1922,IMPEXFERRO,Impex Ferro Tech Limited,2154
1923,INFOMEDIA,Infomedia Press Limited,2133
1924,NKIND,NK Industries Limited,2121
1925,SHANTI,Shanti Overseas (India) Limited,2060
1926,GRCL,Gayatri Rubbers And Chemicals Limited,2060
1927,FEL,Future Enterprises Limited,2047
1928,THOMASCOTT,Thomas Scott (India) Limited,2035
1929,KHAITANLTD,Khaitan (India) Limited,2024
1930,WILLAMAGOR,Williamson Magor & Company Limited,1972
1931,LCCINFOTEC,LCC Infotech Limited,1962
1932,UNIINFO,Uniinfo Telecom Services Limited,1962
1933,ASMS,Bartronics India Limited,1949
1934,VIVO,Vivo Collaboration Solutions Limited,1803
1935,GAYAHWS,Gayatri Highways Limited,1797
1936,CALSOFT,California Software Company Limited,1785
1937,MOXSH,Moxsh Overseas Educon Limited,1770
1938,ORIENTALTL,Oriental Trimex Limited,1764
1939,ONELIFECAP,Onelife Capital Advisors Limited,1764
1940,VIJIFIN,Viji Finance Limited,1733
1941,DIGJAMLMTD,Digjam Limited,1664
1942,KRIDHANINF,Kridhan Infra Limited,1659
1943,SILLYMONKS,Silly Monks Entertainment Limited,1634
1944,MAKS,Maks Energy Solutions India Limited,1630
1945,TANTIACONS,Tantia Constructions Limited,1628
1946,SUPREMEENG,Supreme Engineering Limited,1625
1947,SILGO,Silgo Retail Limited,1597
1948,MOHITIND,Mohit Industries Limited,1593
1949,EDUCOMP,Educomp Solutions Limited,1592
1950,EASTSILK,Eastern Silk Industries Limited,1540
1951,KANDARP,Kandarp Digi Smart BPO Limited,1525
1952,CMICABLES,CMI Limited,1499
1953,NATNLSTEEL,National Steel And Agro Industries Limited,1446
1954,MITTAL,Mittal Life Style Limited,1441
1955,SPRL,Sp Refractories Limited,1432
1956,ORTINLAB,Ortin Laboratories Limited,1427
1957,BRIGHT,Bright Solar Limited,1384
1958,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,1368
1959,GUJRAFFIA,Gujarat Raffia Industries Limited,1351
1960,MASKINVEST,Mask Investments Limited,1335
1961,ISHAN,Ishan International Limited,1297
1962,CONTI,Continental Seeds and Chemicals Limited,1275
1963,AMIABLE,Amiable Logistics (India) Limited,1261
1964,AILIMITED,Abhishek Integrations Limited,1233
1965,EUROTEXIND,Eurotex Industries and Exports Limited,1216
1966,TIJARIA,Tijaria Polypipes Limited,1202
1967,TNTELE,Tamilnadu Telecommunication Limited,1201
1968,KALYANI,Kalyani Commercials Limited,1193
1969,SETUINFRA,Setubandhan Infrastructure Limited,1131
1970,GRETEX,Gretex Industries Limited,1127
1971,LYPSAGEMS,Lypsa Gems & Jewellery Limited,1091
1972,METALFORGE,Metalyst Forgings Limited,1089
1973,SSINFRA,S.S. Infrastructure Development Consultants Limited,1084
1974,SMVD,SMVD Poly Pack Limited,1053
1975,RMCL,Radha Madhav Corporation Limited,1036
1976,JALAN,Jalan Transolutions (India) Limited,1025
1977,SANCO,Sanco Industries Limited,994
1978,VASA,Vasa Retail and Overseas Ltd,956
1979,KAVVERITEL,Kavveri Telecom Products Limited,946
1980,TECHIN,Techindia Nirman Limited,946
1981,NORBTEAEXP,Norben Tea & Exports Limited,940
1982,KCK,Kck Industries Limited,908
1983,SPENTEX,Spentex Industries Limited,898
1984,CREATIVEYE,Creative Eye Limited,873
1985,ANTGRAPHIC,Antarctica Limited,853
1986,TVVISION,TV Vision Limited,845
1987,ABNINT,A B N Intercorp Limited,839
1988,ARENTERP,Rajdarshan Industries Limited,836
1989,UMESLTD,Usha Martin Education & Solutions Limited,832
1990,SHYAMTEL,Shyam Telecom Limited,811
1991,MANAV,Manav Infra Projects Limited,800
1992,ACCORD,Accord Synergy Limited,746
1993,DRL,Dhanuka Realty Limited,735
1994,GLFL,Gujarat Lease Financing Limited,678
1995,CMMIPL,CMM Infraprojects Limited,674
1996,NIRAJISPAT,Niraj Ispat Industries Limited,672
1997,DCMFINSERV,DCM Financial Services Limited,667
1998,SRIRAM,Shri Ram Switchgears Limited,601
1999,PREMIER,Premier Limited,592
2000,SKSTEXTILE,SKS Textiles Limited,588
2001,SABTN,Sri Adhikari Brothers Television Network Limited,577
2002,TARAPUR,Tarapur Transformers Limited,546
2003,BKMINDST,Bkm Industries Limited,524
2004,ALPSINDUS,Alps Industries Limited,508
2005,AHIMSA,Ahimsa Industries Limited,476
2006,BHALCHANDR,Bhalchandram Clothing Limited,476
2007,INNOVATIVE,Innovative Tyres and Tubes Limited,423
2008,LAKPRE,Lakshmi Precision Screws Limited,394
2009,TRANSWIND,Transwind Infrastructures Limited,368
2010,MELSTAR,Melstar Information Technologies Limited,336
2011,SABEVENTS,Sab Events & Governance Now Media Limited,320
2012,INDLMETER,IMP Powers Limited,259
2013,TECILCHEM,TECIL Chemicals and Hydro Power Limited,190
2014,ABHISHEK,Abhishek Corporation Limited,"*Not available for trading as on March 31, 2023"
2015,AHLWEST,Asian Hotels (West) Limited,"*Not available for trading as on March 31, 2023"
2016,AIFL,Ashapura Intimates Fashion Limited,"*Not available for trading as on March 31, 2023"
2017,AJRINFRA,AJR Infra And Tolling Limited,"*Not available for trading as on March 31, 2023"
2018,ALCHEM,Alchemist Limited,"*Not available for trading as on March 31, 2023"
2019,AMJUMBO,A And M Jumbo Bags Limited,"*Not available for trading as on March 31, 2023"
2020,ANDHRACEMT,Andhra Cements Limited,"*Not available for trading as on March 31, 2023"
2021,ANSALAPI,Ansal Properties & Infrastructure Limited,"*Not available for trading as on March 31, 2023"
2022,ARCOTECH,Arcotech Limited,"*Not available for trading as on March 31, 2023"
2023,ARSSINFRA,Arss Infrastructure Projects Limited,"*Not available for trading as on March 31, 2023"
2024,ARTEDZ,Artedz Fabs Limited,"*Not available for trading as on March 31, 2023"
2025,ASIL,Amit Spinning Industries Limited,"*Not available for trading as on March 31, 2023"
2026,ATCOM,Atcom Technologies Limited,"*Not available for trading as on March 31, 2023"
2027,ATLASCYCLE,Atlas Cycles (Haryana) Limited,"*Not available for trading as on March 31, 2023"
2028,ATNINTER,ATN International Limited,"*Not available for trading as on March 31, 2023"
2029,AUTOLITIND,Autolite (India) Limited,"*Not available for trading as on March 31, 2023"
2030,AUTORIDFIN,Autoriders Finance Limited,"*Not available for trading as on March 31, 2023"
2031,BANSAL,Bansal Multiflex Limited,"*Not available for trading as on March 31, 2023"
2032,BGLOBAL,Bharatiya Global Infomedia Limited,"*Not available for trading as on March 31, 2023"
2033,BHARATIDIL,Bharati Defence and Infrastructure Limited,"*Not available for trading as on March 31, 2023"
2034,BILENERGY,Bil Energy Systems Limited,"*Not available for trading as on March 31, 2023"
2035,BIRLATYRE,Birla Tyres Limited,"*Not available for trading as on March 31, 2023"
2036,BLUEBLENDS,Blue Blends (I) Limited,"*Not available for trading as on March 31, 2023"
2037,BLUECHIP,Blue Chip India Limited,"*Not available for trading as on March 31, 2023"
2038,BLUECOAST,Blue Coast Hotels Limited,"*Not available for trading as on March 31, 2023"
2039,BRFL,Bombay Rayon Fashions Limited,"*Not available for trading as on March 31, 2023"
2040,CANDC,C & C Constructions Limited,"*Not available for trading as on March 31, 2023"
2041,CCCL,Consolidated Construction Consortium Limited,"*Not available for trading as on March 31, 2023"
2042,CELESTIAL,Celestial Biolabs Limited,"*Not available for trading as on March 31, 2023"
2043,CKFSL,Cox & Kings Financial Service Limited,"*Not available for trading as on March 31, 2023"
2044,DFMFOODS,DFM Foods Limited,"*Not available for trading as on March 31, 2023"
2045,DIAPOWER,Diamond Power Infra Ltd,"*Not available for trading as on March 31, 2023"
2046,DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,"*Not available for trading as on March 31, 2023"
2047,DQE,DQ Entertainment (International) Limited,"*Not available for trading as on March 31, 2023"
2048,DSKULKARNI,DS Kulkarni Developers Limited,"*Not available for trading as on March 31, 2023"
2049,EASTSUGIND,Eastern Sug & Inds Limited,"*Not available for trading as on March 31, 2023"
2050,EASUNREYRL,Easun Reyrolle Limited,"*Not available for trading as on March 31, 2023"
2051,EMCO,Emco Limited,"*Not available for trading as on March 31, 2023"
2052,EON,Eon Electric Limited,"*Not available for trading as on March 31, 2023"
2053,EUROCERA,Euro Ceramics Limited,"*Not available for trading as on March 31, 2023"
2054,EUROMULTI,Euro Multivision Limited,"*Not available for trading as on March 31, 2023"
2055,FEDDERELEC,Fedders Electric and Engineering Limited,"*Not available for trading as on March 31, 2023"
2056,FIVECORE,Five Core Electronics Limited,"*Not available for trading as on March 31, 2023"
2057,GAMMONIND,Gammon India Limited,"*Not available for trading as on March 31, 2023"
2058,GANGOTRI,Gangotri Textiles Limited,"*Not available for trading as on March 31, 2023"
2059,GBGLOBAL,GB Global Limited,"*Not available for trading as on March 31, 2023"
2060,GFSTEELS,Grand Foundry Limited,"*Not available for trading as on March 31, 2023"
2061,GITANJALI,Gitanjali Gems Limited,"*Not available for trading as on March 31, 2023"
2062,HINDNATGLS,Hindusthan National Glass & Industries Limited,"*Not available for trading as on March 31, 2023"
2063,ICSA,ICSA (India) Limited,"*Not available for trading as on March 31, 2023"
2064,INDOSOLAR,Indosolar Limited,"*Not available for trading as on March 31, 2023"
2065,IVRCLINFRA,IVRCL Limited,"*Not available for trading as on March 31, 2023"
2066,JAINSTUDIO,Jain Studios Limited,"*Not available for trading as on March 31, 2023"
2067,JBFIND,JBF Industries Limited,"*Not available for trading as on March 31, 2023"
2068,JIKIND,JIK Industries Limited,"*Not available for trading as on March 31, 2023"
2069,JINDCOT,Jindal Cotex Limited,"*Not available for trading as on March 31, 2023"
2070,JMTAUTOLTD,JMT Auto Limited,"*Not available for trading as on March 31, 2023"
2071,JPINFRATEC,Jaypee Infratech Limited,"*Not available for trading as on March 31, 2023"
2072,KEERTI,Keerti Knowledge And Skills Limited,"*Not available for trading as on March 31, 2023"
2073,KGL,Karuturi Global Limited,"*Not available for trading as on March 31, 2023"
2074,KSERASERA,KSS Limited,"*Not available for trading as on March 31, 2023"
2075,KSK,KSK Energy Ventures Limited,"*Not available for trading as on March 31, 2023"
2076,LAKSHMIEFL,Lakshmi Energy and Foods Limited,"*Not available for trading as on March 31, 2023"
2077,LEEL,LEEL Electricals Limited,"*Not available for trading as on March 31, 2023"
2078,MANPASAND,Manpasand Beverages Limited,"*Not available for trading as on March 31, 2023"
2079,MBECL,Mcnally Bharat Engineering Company Limited,"*Not available for trading as on March 31, 2023"
2080,MCDHOLDING,McDowell Holdings Limited,"*Not available for trading as on March 31, 2023"
2081,MERCATOR,Mercator Limited,"*Not available for trading as on March 31, 2023"
2082,METKORE,Metkore Alloys & Industries Limited,"*Not available for trading as on March 31, 2023"
2083,MODTHREAD,Modern Thread Limited,"*Not available for trading as on March 31, 2023"
2084,MOHOTAIND,Mohota Industries Limited,"*Not available for trading as on March 31, 2023"
2085,MVL,MVL Limited,"*Not available for trading as on March 31, 2023"
2086,NAKODA,Nakoda Limited,"*Not available for trading as on March 31, 2023"
2087,NITINFIRE,Nitin Fire Protection Industries Limited,"*Not available for trading as on March 31, 2023"
2088,NTL,Neueon Towers Limited,"*Not available for trading as on March 31, 2023"
2089,NUTEK,Nu Tek India Limited,"*Not available for trading as on March 31, 2023"
2090,OISL,OCL Iron and Steel Limited,"*Not available for trading as on March 31, 2023"
2091,OMKARCHEM,Omkar Speciality Chemicals Limited,"*Not available for trading as on March 31, 2023"
2092,OPAL,Opal Luxury Time Products Limited,"*Not available for trading as on March 31, 2023"
2093,OPTOCIRCUI,Opto Circuits (India) Limited,"*Not available for trading as on March 31, 2023"
2094,ORTEL,Ortel Communications Limited,"*Not available for trading as on March 31, 2023"
2095,PDPL,Parenteral Drugs (India) Limited,"*Not available for trading as on March 31, 2023"
2096,PINCON,Pincon Spirit Limited,"*Not available for trading as on March 31, 2023"
2097,PRATIBHA,Pratibha Industries Limited,"*Not available for trading as on March 31, 2023"
2098,PRUDMOULI,Prudential Sugar Corporation Limited,"*Not available for trading as on March 31, 2023"
2099,PSL,PSL Limited,"*Not available for trading as on March 31, 2023"
2100,PUNJLLOYD,Punj Lloyd Limited,"*Not available for trading as on March 31, 2023"
2101,QUINTEGRA,Quintegra Solutions Limited,"*Not available for trading as on March 31, 2023"
2102,RADAAN,Radaan Mediaworks India Limited,"*Not available for trading as on March 31, 2023"
2103,RAINBOWPAP,Rainbow Papers Limited,"*Not available for trading as on March 31, 2023"
2104,RAJVIR,Rajvir Industries Limited,"*Not available for trading as on March 31, 2023"
